date,open,high,low,close,volume
2023-01-01,100.0,102.5,99.5,101.2,10000
2023-01-02,101.3,103.4,100.8,102.5,12000
2023-01-03,102.5,104.6,102.0,104.2,15000
2023-01-04,104.3,105.1,103.2,103.5,11000
2023-01-05,103.6,104.8,102.9,104.1,13000
2023-01-06,104.2,106.0,103.8,105.7,14500
2023-01-07,105.8,107.2,105.1,106.8,16000
2023-01-08,106.9,108.3,106.5,107.9,17500
2023-01-09,108.0,108.5,106.2,106.5,13200
2023-01-10,106.6,107.4,105.3,106.2,12800
2023-01-11,106.3,108.1,105.9,107.8,14300
2023-01-12,107.9,109.5,107.5,109.2,16800
2023-01-13,109.3,110.2,108.7,109.5,15200
2023-01-14,109.6,111.8,109.2,111.4,18300
2023-01-15,111.5,112.3,110.1,110.8,14700
2023-01-16,110.9,112.1,109.5,111.6,15500
2023-01-17,111.7,113.2,111.4,112.9,17200
2023-01-18,113.0,114.5,112.6,114.2,18500
2023-01-19,114.3,115.1,113.2,113.8,16300
2023-01-20,113.9,114.6,112.5,113.1,14800
2023-01-21,113.2,114.8,112.9,114.4,15900
2023-01-22,114.5,116.2,114.0,116.0,19200
2023-01-23,116.1,117.3,115.8,116.9,18700
2023-01-24,117.0,117.8,115.2,115.5,16200
2023-01-25,115.6,116.4,114.3,115.9,15400
2023-01-26,116.0,118.2,115.7,117.8,17800
2023-01-27,117.9,119.3,117.5,119.1,19500
2023-01-28,119.2,120.5,118.9,120.2,21000
2023-01-29,120.3,121.1,119.4,120.6,19800
2023-01-30,120.7,122.3,120.1,121.8,20500
